Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1194844,,8343,156 AVENUE NW,N,2050,BELLE RIVE,tastawiyiniwak Ward,296500,53.61623053,-113.4710919,POINT (-113.47109186367435 53.616230534581156),100,,,RESIDENTIAL,,
1034339,,9420,92 STREET NW,N,6710,STRATHEARN,Métis Ward,47030000,53.53094866,-113.4692786,POINT (-113.46927857387664 53.53094866121484),100,,,OTHER RESIDENTIAL,,
1115120,,15006,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,831500,53.50718215,-113.5805631,POINT (-113.58056313777135 53.5071821497685),100,,,RESIDENTIAL,,
1012293,,15112,45 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,290000,53.48456049,-113.5819129,POINT (-113.58191288991183 53.48456049274555),100,,,RESIDENTIAL,,
1191709,,8821,160 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,379000,53.52373427,-113.5969905,POINT (-113.59699048253566 53.52373426966952),100,,,RESIDENTIAL,,
1299114,,296,LAGO LINDO CRESCENT NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,369500,53.63167218,-113.4906423,POINT (-113.49064231302748 53.63167218194653),100,,,RESIDENTIAL,,
1343565,,8606,127 AVENUE NW,Y,2420,KILLARNEY,tastawiyiniwak Ward,169500,53.58502979,-113.4731371,POINT (-113.47313712214692 53.58502978864715),100,,,RESIDENTIAL,,
1223205,,1913,SADDLEBACK ROAD NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,168000,53.44981061,-113.5206808,POINT (-113.52068076716473 53.449810612380354),100,,,RESIDENTIAL,,
1287051,1212,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,96500,53.5421619,-113.5301833,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1257153,,8935,154 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,366000,53.52238723,-113.5863281,POINT (-113.58632809360043 53.52238722798939),100,,,RESIDENTIAL,,
1222181,32,2115,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,164500,53.45106722,-113.5294886,POINT (-113.52948864239029 53.45106721911202),100,,,RESIDENTIAL,,
1014836,,10408,16 AVENUE NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,431000,53.44653692,-113.4943907,POINT (-113.49439069944543 53.446536915961694),100,,,RESIDENTIAL,,
1003664,,17319,53 AVENUE NW,N,4451,RIVER VALLEY OLESKIW,sipiwiyiniwak Ward,58500,53.48997032,-113.6192901,POINT (-113.61929010833195 53.489970319997596),100,,,COMMERCIAL,,
1153212,,16112,83 AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,329000,53.51712672,-113.6010568,POINT (-113.60105680854252 53.51712672166146),100,,,RESIDENTIAL,,
1218346,,20103,107 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,458500,53.5505943,-113.669346,POINT (-113.66934604409903 53.55059430273943),100,,,COMMERCIAL,,
1213503,703,8340,JASPER AVENUE NW,N,1070,CROMDALE,Métis Ward,162500,53.55591201,-113.4703111,POINT (-113.47031114606736 53.55591201019),100,,,RESIDENTIAL,,
1074012,,321,65 AVENUE NW,Y,6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi Ward,1670000,53.50140754,-113.3482345,POINT (-113.34823454047623 53.50140754066389),50,50,,COMMERCIAL,RESIDENTIAL,
1080662,,9503,184 STREET NW,N,4240,LA PERLE,Nakota Isga Ward,286500,53.52994129,-113.6401017,POINT (-113.64010172509923 53.52994129390386),100,,,RESIDENTIAL,,
1097641,,9418,177 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,316500,53.63951316,-113.4873612,POINT (-113.48736124455752 53.63951316402036),100,,,RESIDENTIAL,,
